x,y,nazwa,miasto
22.523524,51.018453,Stacje paliw Orlen,Bychawa
22.341080,50.745840,Stacje paliw Orlen,Modliborzyce
22.586810,51.107480,Stacje paliw Orlen,Jabłonna
22.219430,51.309000,Stacje paliw Orlen,Piotrowice
22.879550,50.603980,Stacje paliw Orlen,Panasówka
19.356290,51.657760,Stacje paliw Orlen,Pabianice
22.011470,50.063440,Stacje paliw Orlen,Rzeszów
20.483180,49.976330,Stacje paliw Orlen,Gorzków
19.795360,49.877860,Stacje paliw Orlen,Biertowice
19.851682,50.629202,Stacje paliw Orlen,Szczekociny
21.894220,50.190210,Stacje paliw Orlen,Widełka
19.165720,50.300850,Stacje paliw Orlen,Sosnowiec
15.782200,53.792500,Stacje paliw Orlen,widwin
20.952380,50.015880,Stacje paliw Orlen,Tarnów
21.692600,49.424460,Stacje paliw Orlen,Barwinek
18.113030,50.415520,Stacje paliw Orlen,Zdzieszowice
19.378850,52.246160,Stacje paliw Orlen,Kutno
18.634930,50.395860,Stacje paliw Orlen,Pyskowice
16.485830,53.276270,Stacje paliw Orlen,Wałcz
22.304690,54.303950,Stacje paliw Orlen,Gołdap
16.516100,50.408910,Stacje paliw Orlen,Polanica-Zdrój
17.271980,51.527380,Stacje paliw Orlen,Milicz
21.031480,52.432297,Stacje paliw Orlen,Nieporęt
20.279020,50.820470,Stacje paliw Orlen,Małogoszcz
18.435530,51.055160,Stacje paliw Orlen,Praszka
16.651940,51.798000,Stacje paliw Orlen,Rydzyna
22.093040,52.908500,Stacje paliw Orlen,Szumowo
19.044680,53.914400,Stacje paliw Orlen,Sztum
18.091750,51.769680,Stacje paliw Orlen,Kalisz
16.593084,52.595749,Stacje paliw Orlen,Szamotuły
16.883630,52.469110,Stacje paliw Orlen,Suchy Las
16.994545,52.361025,Stacje paliw Orlen,Poznań
15.250310,52.299060,Stacje paliw Orlen,Pozrzadło
17.083300,52.449400,Stacje paliw Orlen,Kobylnica
16.629040,50.681180,Stacje paliw Orlen,Bielawa
16.181890,51.206880,Stacje paliw Orlen,Legnica
14.986220,51.779200,Stacje paliw Orlen,Lubsko
15.939440,52.256740,Stacje paliw Orlen,Zbąszyń
19.975220,53.693820,Stacje paliw Orlen,Ostróda
21.169900,50.571470,Stacje paliw Orlen,Staszów
18.781160,50.374240,Stacje paliw Orlen,Wieszowa
17.907460,50.703130,Stacje paliw Orlen,Opole
19.229830,50.466020,Stacje paliw Orlen,Siewierz
19.078330,50.319260,Stacje paliw Orlen,Czeladz
18.415550,50.073880,Stacje paliw Orlen,Rydułtowy
18.899680,50.253000,Stacje paliw Orlen,RudaŚląska
18.873050,50.270460,Stacje paliw Orlen,RudaŚląska
19.142859,50.231825,Stacje paliw Orlen,Mysłowice
15.992380,53.998470,Stacje paliw Orlen,Białogard
16.470030,53.032597,Stacje paliw Orlen,Trzcianka
18.635530,54.333400,Stacje paliw Orlen,Gdańsk
23.184220,52.771340,Stacje paliw Orlen,Bielsk Podlaski
18.924050,52.252060,Stacje paliw Orlen,Kołodawa
18.147760,50.335590,Stacje paliw Orlen,Kędzierzyn-Kozle
16.197820,51.385290,Stacje paliw Orlen,Lubin
18.607900,54.326190,Stacje paliw Orlen,Gdańsk
15.120260,52.440520,Stacje paliw Orlen,Sulęcin
18.422660,54.560180,Stacje paliw Orlen,Rumia
20.845330,51.987270,Stacje paliw Orlen,Tarczyn
20.936433,52.170009,Stacje paliw Orlen,Warszawa
